question,choices,answer
How was Catherine the Great of Russia related to Petar III?,"['She was his cousin', 'She was his wife.', 'She was his daughter', 'She was his sister']",1
What was the last successful foreign invasion of Britain?,"['Spanish in 1588', 'Dutch in 1688', 'German in 1940', 'Norman in 1066']",1
Which Academy Award winning American actor who died in 2003 played Ed Norton on The Honeymooners?,"['Paul Lynde', 'Jackie Gleason', 'Art Carney', 'Rodney Dangerfield']",2
This Union general was killed by a sniper on the first day of the Battle of Gettysburg.,"['Abner Doubleday', 'Joshua Chamberlain', 'John Reynolds', 'John Sedgwick']",2
The Golden age of Athens occurred between which two wars?,"['Punic and Peloponnesian', 'Peloponnesian and Spartan', 'Spartan and Punic', 'Persian and Peloponnesian']",3
In what year did the French pull out of Indochina?,"['1949', '1964', '1954', '1970']",2
"When did Boniface III, the first Bishop of Rome, begin to bear the title Pope?","['599 AD', '617 AD', '601 AD', '607 AD']",3
Who or what destroyed the Great Spanish Armada in 1588?,"['A hurricane off the coast of Ireland', 'Admiral Nelson at Trafalgar', 'Francis Drakes attack in the English Channel', 'Dutch warships']",0
"On May 14, 1904, the first Olympic Games to be held in the U.S. opened in what city?","['St. Louis', 'Chicago', 'Los Angeles', 'Lake Placid']",0
"What historical event occurred on March 15, 44 BC?","['Julius Caesar was assassinated by members of the Roman senate', 'The first calendar was started by the Mayans in Central America', 'Korea gained independence from Japan', 'Mark Antony married Cleopatra']",0
What everyday item was invented by Will Mueller in 1935?,"['Automatic telephone answering machine', 'Fax machine', 'Electric door bell', 'Automobile automatic transmission']",0
The Boer Wars were fought by the British Empire against which colonists?,"['French in Louisiana', 'Spanish in the Caribbean', 'Portuguese in India', 'Dutch in South Africa']",3
This Silk Road  dynasty succeeded the Qin Dynasty.,"['Zhou Dynasty', 'Ming Dynasty', 'Sui Dynasty', 'Han Dynasty']",3
Which great journey was funded by an English king?,"['Giovanni da Verrazzanos to Manhattan (1524)', 'Ferdinand Magellans round trip around the world (1519-1521)', 'Giovanni Cabotos to Newfoundland (1497)', 'Christopher Columbuss to the West Indies (1492)']",2
What did people do in medieval times to make their skin appear more translucent?,"['They painted blood vessels on their skin.', 'They used medications to enlarge their blood vessels.', 'They never liked translucent skin.', 'They made cuts in their skin.']",0
When did the Cuban Missile Crisis occur?,"['April 1963', 'November 1961', 'October 1962', 'August 1964']",2
The Henry House can be found on which Civil war battlefield?,"['South Mountain', 'Petersburg', 'Cedar Creek', 'Bull Run']",3
Alexander the Great is a son of this European ruler.,"['Demetrius II', 'Amyntas IV', 'Theodosius I', 'Philip II']",3
Which statement regarding the consequences of the Korean War is true?,"['When the war ended, China had gained some territory and special economic concessions from North Korea.', 'When the war ended, the South had gained a large part of North Korean territory.', 'When the war ended, the North had gained a large part of South Korean territory.', 'When the war ended, no nation made any significant gain in territory or economic concessions. The dividing line between North and South was almost the same as when the war began.']",3
Which king of England is not the title character of a Shakespearean play?,"['Richard III', 'Henry VIII', 'Henry VII', 'Richard II']",2
The oldest confirmed fossil of a reptile belonged to what animal?,"['Dimetrodon', 'Westlothiana', 'Petrolacosaurus', 'Hylonomus']",3
This was Napoleons perfect battle.,"['Friedland', 'Jena', 'Waterloo', 'Austerlitz']",3
The Free Speech Movement was a student protest that began in 1964 on the campus of which university?,"['University of California, Berkeley', 'California State University, Los Angeles', 'Anderson University, Indiana', 'Florida International University']",0
"This vessel sunk in lake Michigan in 1919, after a fire on board got out of control.","['Louisiana', 'Carrington', 'Fleetwing', 'Frank OConnor']",3
In what year did the French Revolution begin?,"['1789', '1693', '1724', '1637']",0
Dutch independence from Spain (1648) was recognized in this Treaty.,"['Treaty of Soissons', 'Treaty of Antwerp', 'Treaty of Beijing', 'Treaty of Munster']",3
Who was the first man to ride the space shuttle into orbit twice?,"['Byron Lichtenberg', 'Bob Crippen', 'John Glen', 'John Young']",3
"Where did Joseph Goebbels, one of Hitlers closest associates, earned his PH.D.?","['University of Basel', 'Berlin University', 'Heidelberg University', 'University of Rostock']",2
Who directed the 1979 movie Apocalypse Now?,"['Francis Ford Coppola', 'Oliver Stone', 'Brian DePalma', 'Stanley Kubrick']",0
In what century is James Clavells samurai novel Shogun set?,"['Tenth century', 'Fifteenth century', 'Seventeenth century', 'Twelfth century']",2
Maya ritual ceremonies were particularly noted for which one of these reasons?,"['Impressive dance performances', 'Cruel sacrifices', 'Long duration', 'Colorful body painting']",1
Which one happened to the U.S. in 1774?,"['Noah Webster publishes his American dictionary', 'Rhode Island abolished slavery', 'The Boston Massacre', 'The Bill of Rights goes into effect']",1
In what year was Napoleon Bonaparte crowned emperor of France?,"['1807', '1804', '1810', '1801']",1
"All of these famous political leaders lost their power in the 80s, except one. Can you spot him?","['Augusto Pinochet', 'Ceausescu', 'Francois Mitterrand', 'Gustav Husak']",2
How many civilians were killed in the Battle of Gettysburg?,"['3', '1', '2', '4']",1
Who unified Upper and Lower Egypt?,"['Thutmose III', 'Kahfre', 'Imhotep', 'Menes']",3
How many Union soldiers were killed during the bombardment of Fort Sumter in Charleston Harbor?,"['1', '4', '2', 'None']",3
"What British actor was born on 23 July, 1989 in London, United Kingdom?","['Daniel Radcliffe', 'Jamie Waylett', 'Nicholas Hoult', 'Hugh Mitchell']",0
The United Islamic Front for the Salvation of Afghanistan is also known as?,"['Northern Alliance', 'Al-Qaeda', 'Taliban', 'Amir al-MuMinin']",0
What did rich Egyptian women place on top of their heads and kept it there all day?,"['A small mirror', 'A cone of scented grease', 'A jewel made of serpents skin', 'A golden pendant']",1
She popularized the mini.,"['Marilyn Monroe', 'Twiggy', 'Mary Quant', 'Marie Brizzard']",2
What was the result of the Athenian invasion of Syracuse during the Peloponnesian War?,"['The Athenians were defeated.', 'Syracuse was destroyed and Sparta later surrendered.', 'The Romans defeated both sides and took over Sicily.', 'Carthage invaded and controlled western Sicily.']",0
There was only one death as a result of military action during the Cuban Crisis. When did it occur?,"['when a US ship was damaged by a torpedo fired by a Soviet submarine', 'when an American U-2 spy plane was shot down over Cuba', 'when a Cuban soldier was killed during a fight between US warplanes and Cuban antiaircraft guns', 'when the US fired on a Soviet ship at the blockade line']",1
Where did the official Japanese surrender on 2nd September 1945 take place?,"['Berlin', 'Potsdam', 'USS Missouri', 'Washington, DC']",2
What did Benjamin Franklin do in 1752?,"['Fell and broke his hip', 'Invented exercise / dance', 'Stopped publishing Poor Richards Almanac', 'Proved lightning is electricity']",3
"This actor, who died in 2000, played the role of Major Frank Burns on the TV series M.A.S.H.","['Harry Morgan', 'Larry Gelbert', 'Alan Alda', 'Larry Linville']",3
"The roots of the word knight are connected to cniht, an Old English word meaning this.","['Hangman', 'Stable-lad', 'Page boy', 'Prison-breaker']",2
The internationally accepted civil calendar is called Gregorian. After who was it named?,"['Pope Gregory XIII', 'Historian Gregory of Tours', 'Scientist Gregor Mendel', 'Pope Gregory the Great']",0
"In 1974, this lady got a patent for a pantyhose with a shaping band for cheeky derriere relief.","['Michelle Pfeiffer', 'Eartha Kitt', 'Donna Mills', 'Julie Newmar']",3
In what month of 1941 did Nazi Germanys invasion of the Soviet Union start?,"['August', 'March', 'July', 'June']",3
Yu the Great was the legendary first Chinese monarch of this dynasty.,"['Xia Dynasty', 'Qing (Manchu) Dynasty', 'Ming Dynasty', 'Yuan Dynasty']",0
In what state was Claus von Bulow prosecuted?,"['Rhode Island', 'Arkansas', 'Illinois', 'Virginia']",0
How long did the United States keep the monopoly on the atomic bomb?,"['four years until 1949', 'seven years until 1952', 'one year until 1946', 'ten years until 1955']",0
These wars for the English throne were fought between 1455 and 1485.,"['English Civil War', 'War of the two brothers', 'All of these', 'Wars of the Roses']",3
These marks were a huge craze in the Middle Ages.,"['Pimples', 'Moles', 'Warts', 'Scars']",1
Three of these political events occurred in the 80s. Which one happened earlier?,"['The Collapse of the Soviet Union', 'The USA invades Panama', 'The Winter of Discontent in the UK', 'The Velvet Revolution in Czechoslovakia']",2
"General Lees three corps commanders at Gettysburg were Longstreet,  A.P. Hill and who else?","['Richard Ewell', 'Richard Garnett', 'Issac Trimble', 'Johnston Pettigrew']",0
Which one of the Pyramids of Giza has visibly retained its polished limestone casing at its apex?,"['The Pyramid of Khafre', 'The Great Pyramid of Giza', 'The Pyramid of Djedefre', 'One of the Queens Pyramids']",0
What does the term Mesozoic mean?,"['Ancient life', 'Middle life', 'Age of ancient reptiles', 'Recent life']",1
One of these cities has been Japans capital in the past.,"['Kyoto', 'Yokohama', 'Hiroshima', 'Osaka']",0
"To what dynasty did Cleopatra, the last Pharaoh of Ancient Egypt, belong?","['Julio-Claudian', 'Vespasian', 'Flavian', 'Ptolemaic']",3
Name the Ohio senator who made an unsuccessful bid for presidency in 1984.,"['Reubin OD. Askew', 'John H. Glenn Jr.', 'Alan M. Cranston', 'George S. McGovern']",1
What countrys civilian airliner was shot down by a Russian fighter jet in 1983?,"['South Korea', 'USA', 'Japan', 'China']",0
"What statesman became the first President, under the Fifth Republic of France, in 1959?","['Albert Lebrun', 'Vincent Auriol', 'Charles De Gaulle', 'Rene Coty']",2
WW II broke out in 1939 with the German invasion of Poland. What month did this invasion take place?,"['March', 'September', 'December', 'February']",1
"WW II started on September 1, 1939 when Germany invaded which country?","['Poland', 'The Soviet Union', 'Austria', 'Czechoslovakia']",0
Which country was divided into East and West during the Cold War?,"['Czechoslovakia', 'Germany', 'Austria', 'Poland']",1
What two countries were invaded by Germany on 9 April 1940?,"['Norway and Great Britain', 'Norway and France', 'France and Denmark', 'Norway and Denmark']",3
The Burnside Bridge is related to which Civil War battlefield?,"['Glorietta Pass', 'Chantilly', 'Cheat Mountain', 'Antietam']",3
What city was the Russian capital before Tsar Peter the Great founded St. Petersburg?,"['Odessa', 'Moscow', 'Kiev', 'Novgorad']",1
Which famous person holds a patent for the design of  an ash tray?,"['Johnny Carson', 'Axl Rose', 'Rachel Carson', 'Lawrence Welk']",3
Napoleon Bonaparte usually wore a uniform of the following rank.,"['King', 'Colonel', 'General', 'Marshal']",1
Which famous person holds a patent for a cardiac pulse monitor?,"['Lawrence Welk', 'Jay Leno', 'Paul Winchell', 'Zeppo Marx']",3
"Shakespeares theater, The Globe, was destroyed by fire in 1613. Which Queen saw its reopening?","['Elisabeth I', 'Anne', 'Victoria', 'Elisabeth II']",3
The first bra was announced in this fashion magazine.,"['Vogue', 'Glamour', 'Marie Claire', 'Elle']",0
Where do the oldest rocks on Earth come from?,"['Narryer Gneiss Terrane', 'None of these', 'The Nuvvuagittuq greenstone belt', 'Acasta Gneiss']",2
Where in Egypt are the Pyramids of Giza situated?,"['In Abu Simbel, Southern Egypt', 'Near the Gulf of Aqaba', 'In the very heart of Egypt', 'On the outskirts of Cairo']",3
When did Boston become a settlement and who led it?,"['1502 - William James', '1630 - John Winthrop', '1590 - Charles H. Connelly III', '1610 - James Kennedy']",1
Where is the Nile Delta located?,"['Lake Victoria in central Africa', 'at the source of the river', 'Upper Egypt', 'Lower Egypt']",3
"This Spanish conquistador, the founder of the City of Lima, conquered the Inca Empire.","['Gonzalo Pizarro', 'Hernan Cortes', 'Francisco Pizarro', 'Alonso de Ojeda']",2
How many passengers were aboard the Mayflower when it crossed the Atlantic?,"['93', '100', '102', '90']",2
What was the scene of the last major battle of the Peloponnesian War?,"['Actium', 'Epirus', 'Aegospotami', 'Salamis']",2
Which one happened to the U.S. in 1791?,"['War started with Canada', 'Bill of Rights goes into effect', '1st recorded UFO sighting by an American', 'Benedict Arnold found guilty of being a traitor']",1
The first traces of womens underwear were found on this island.,"['Australia', 'Wales', 'Madagascar', 'Crete']",3
"In the Battle of Gaugamela, 331 B.C. , Alexander the Great of Macedonia defeated which king?","['Cyrus the Great', 'Leonidas of Sparta', 'Marcellus Germanicus', 'Darius III']",3
How did Cleopatra present herself to Julius Caesar when he seized the Egyptian capital in 48 BC ?,"['rolled into a Persian carpet', 'riding a camel', 'dressed as the goddess Aphrodite', 'with a snake around her neck']",0
What were Washingtons passwords for the crossing of the Delaware River and the attack on Trenton?,"['Victory and Liberty', 'Liberty or Death', 'Victory or Death', 'Let Us Roll']",2
"In what century were the fountain pen, shaving soap and street lamps invented?","['12th century AD', '14th century AD', '9th century AD', '16th century AD']",2
What is the etymology of the month August?,"['Augustus means 6th in Latin and the month was 6th in the Roman calendar', 'Augustus means horrific in Latin. August was the month when Rome burnt', 'It was named to honor Roman Emperor Octavian August', 'Auguste was a ship that sank in August 1761']",2
Who was the father of Alexander the Great?,"['Hercalesian III', 'Triton', 'Philip II', 'Lysander']",2
"During this century Constantine I ruled, and Kama Sutra was created.","['6th century AD', '1st century BC', '4th century AD', '2nd century BC']",2
"Who was the last Tsar of Russia, King of Poland and Grand Duke of Finland?","['Alexander III', 'Alexander II', 'Nicholas II', 'Peter I']",2
Which Anglo-Saxon King of England died at the Battle of Hastings?,"['Charles II', 'Charles I', 'Richard III', 'Harold II']",3
What was the original height of the Great Pyramid?,"['481 feet', '565 feet', '380 feet', '600 feet']",0
What was the real name of General Stonewall Jackson?,"['Robert Edward Jackson', 'Thomas Jonathan Jackson', 'Henry David Jackson', 'Nathan Bedford Jackson']",1
"Martin Luther King, Jr., John F. Kennedy and Robert F. Kennedy were assassinated during this decade.","['1940s', '1950s', '1970s', '1960s']",3
Who was the first official casualty of the American Civil War?,"['Pvt. Daniel Hough', 'Pvt. Stephen Lang', 'Pvt. Peter Hermit', 'Pvt. Harry Cruble']",0
The Great Pyramid of Giza is believed to have been built as the tomb of this Egyptian pharaoh.,"['Amenhotep', 'Ramses', 'Tut', 'Khufu']",3
Which language was the medieval lingua franca?,"['Latin', 'German', 'French', 'English']",0
Which statement about year 2009 is not true?,"['It is year 1430 in Islamic calendar', 'It is the year of the ox in Chinese calendar', 'Hebrew year 5770 starts on 18 September 2009', 'It is a leap year']",3
This decade saw the end of the Napoleonic Wars in Europe and the Year Without a Summer.,"['1780s', '1870s', '1810s', '1900s']",2
How did the French aid the American patriots during the Revolutionary War?,"['by allowing the French fleet to aid the Americans at a critical point of the war', 'by providing substantial amounts of military supplies', 'by sending part of the French Army to America', 'all of these']",3
Hong Kong ceded to the British and John F. Kennedy was inaugurated on this day.,"['March 14', 'April 2', 'November 23', 'January 20']",3
He was in command at the critical point in the Battle of Gettysburg?,"['John Reynolds', 'Joshua Chamberlain', 'Winfield Scott Hancock', 'Dan Sickles']",1
Who was awarded the 1989 Nobel Prize for Peace?,"['The 14th Dalai Lama, Tenzin Gyatso', 'Mikhail Sergeyevich Gorbachev', 'Nelson Mandela', 'Yasser Arafat']",0
"Which was the formal reason for the end of World War II, on September 2, 1945?","['The surrender of Germany', 'The number of civilians that had died', 'The usage of an increased number of atomic weapons', 'The formal surrender of Japan']",3
On what Mediterranean island did the Minoan civilization arise?,"['Cyprus', 'Corsica', 'Crete', 'Corfu']",2
She was Esmeralda on Bewitched.,"['Alice Ghostley', 'Angela Riverton', 'Cathy Bates', 'Angela Channing']",0
Who led the Vichy regime in France during WWII?,"['Marshall Petain', 'General Jean Martine Dubois', 'General Lemoines', 'Henri Desqueres']",0
What did American children often do during WWII to contribute to the war effort?,"['They took part in basic military training', 'Gathered scrap metal, rubber, etc. that could be recycled.', 'They worked part time in munitions factories.', 'Provided aircraft observers to help their adult counterparts spot enemy airplanes.']",1
Who is widely recognized as the leader of the Warsaw Ghetto Uprising during WW II?,"['Mordechai Anielewicz', 'Chaim Rumkowski', 'Henry Morgentaler', 'Hilary Minc']",0
Who was the first man to be accused of witchcraft?,"['Samuel Good', 'Giles Cory', 'John Proctor', 'George Burroughs']",2
In what century did the Black Death kill about one third of the European population?,"['4th century AD', '14th century AD', '8th century AD', '10th century AD']",1
Always a bridesmaid and never a bride. No more!  What daytime soap actress won an Emmy,"['Melody Thomas Scott', 'Jeanne Cooper', 'Eileen Fulton', 'Susan Lucci']",3
Which one of these countries was not one of the Allies during WW II?,"['France', 'Poland', 'United Kingdom', 'Italy']",3
Dinosaurs first evolved during the middle Triassic period approximately how many years ago?,"['248 million years ago', '190 million years ago', '225 million years ago', '251 million years ago']",2
Name the first state to secede from the Union.,"['Georgia', 'Virginia', 'Tennessee', 'South Carolina']",3
Magellan set out on his voyage around the world on this day.,"['March 3, 1522', 'October 12, 1512', 'January 21, 1532', 'September 20, 1519']",3
"According to statistics, approximately how many people lost their lives in World War II?","['52 million', '42 million', '72 million', '62 million']",3
This Union general earned the nickname The Rock of Chickamauga.,"['Smith', 'Thomas', 'Sherman', 'Rosecrans']",1
"On 28 October 1940, launching the invasion from bases in Albania, Italy invaded this country.","['Greece', 'Bulgaria', 'Checzoslovakia', 'France']",0
One of these four people was not born on April 1.,"['Otto von Bismarck', 'King George II of Greece', 'Abraham Maslow', 'Method Man']",1
