question,choices,answer
Who wrote the book To Kill a Mockingbird?,"['James Baldwin', 'Harper Lee', 'Norman Mailer', 'Mark Twain']",1
What magazine selects The Person of the Year?,"['Newsweek', 'Sports Illustrated', 'Time', 'Rolling Stones']",2
The person who developed the popular game Sudoku was from which country?,"['Switzerland', 'South Korea', 'Malaysia', 'Japan']",0
What do you call a large group of islands?,"['Hawaii', 'Islet', 'Archipelago', 'Chanel']",2
What animal was the color taupe named after?,"['Mole', 'Horse', 'Bear', 'Sparrow']",0
This name is of German origin and means protection.,"['Robert', 'George', 'William', 'Richard']",2
In what 1973 James Bond movie has actress Jane Seymour appeared as a Bond girl?,"['The Spy Who Loved Me', 'The Man with the Golden Gun', 'Diamonds Are Forever', 'Live and Let Die']",3
"How many people signed the US Declaration of Independence on July 4,1776?","['2', '55', '0', '1']",0
"In order for a natural diamond to form, it must be exposed to what specific conditions?","['High pressure and high temperature', 'High pressure and absence of light', 'Comparatively low pressure and high temperature', 'High pressure and comparatively low temperature']",3
The following citation is taken from this novel of F. Scott Fitzgerald.,"['Tender Is the Night', 'The Great Gatsby', 'The Beautiful and Damned', 'This Side of Paradise']",1
What word means fear of prostitutes or venereal disease?,"['Cynophobia', 'Cyclophobia', 'Cypridophobia', 'Cymophobia']",2
What distinction does Sir Timothy Berners-Lee hold?,"['He was the first RAF pilot to shoot down a plane.', 'He is the inventor of the World Wide Web.', 'He made  the first cell phone call.', 'He was the first non-American to hold a US patent.']",1
"In the year 632, he succeeded Mohamed and became the First Caliph.","['Abu Bakr', 'Tahallah', 'Abu Qahafa', 'al-Zubahr']",0
Whose wife was Sarah according to the Hebrew Bible and the Quran?,"['Ishmaels', 'Noahs', 'Isaacs', 'Abrahams']",3
Name the longest continuous stretch of railroad.,"['Trans-Siberian Railroad', 'The Orient Express', 'The Canadian Pacific Railroad', 'The Alaska-Canadian Railroad']",0
What popular gun was invented by General John  T. Thompson?,"['the JT assault rifle', 'johnny gun', 'sten gun', 'tommy gun']",3
In what country is the presidential residence called The Blue House?,"['South Korea', 'Argentina', 'Greece', 'France']",0
It is generally accepted that paper money was invented in this nation.,"['India', 'The Netherlands', 'Japan', 'China']",3
What type of topaz is the gemstone of Texas?,"['Imperial topaz', 'Orange topaz', 'Mystic topaz', 'Blue topaz']",3
What musical instrument made jazz performer Lionel Hampton famous?,"['Trombone', 'Drums', 'Clarinet', 'Vibes']",3
Who was the first performer to have both the Billboard number one and number two album?,"['Willie Nelson', 'Frank Sinatra', 'Bob Newhart', 'Johnny Mathis']",2
"What did boxer Jack Johnson, Charlie Chaplin and actor, Errol Flynn all have in common?","['They were all charged with the same crime', 'They all died in Paris', 'They died of the same causes', 'They had the same birthday']",0
Which famous actor was Arthur Millers son-in-law?,"['Daniel  Day-Lewis', 'Anthony Hopkins', 'Kirk Douglas', 'William Shatner']",0
Why would mermaids drown humans according to popular belief and different stories?,"['Because they forget humans cant breathe underwater', 'In attempts to rescue them from drowning', 'Out of spite', 'All of these']",3
This country has the highest income tax rate.,"['Norway', 'Denmark', 'Sweden', 'The US']",1
What was the name of the first computer game?,"['Tetris', 'Myst', 'Tennis For Two', 'Pong']",2
"What American Idol finalist was born on March 25, 1984, in Los Angeles, California?","['Elliott Yamin', 'Jennifer Hudson', 'Katharine McPhee', 'Kelly Clarkson']",2
What company sold the first quartz wristwatch?,"['Bulova', 'Seiko', 'Omega', 'Casio']",1
"In Michael Curtizs movie, Casablanca, where were the visas to Portugal hidden ?","['In Ricks file cabinet', 'At the Airport', 'In Ricks white dinner jacket', 'In Sams piano']",3
At the 2003 MTV music awards these two stars wore diamond necklaces with their initials.,"['Britney Spears and Madonna', 'Alicia Keys and Anastasia', 'Whitney Huston and Mariah Carey', 'Jeniffer Aniston and Brad Pitt']",0
How many compartments are in a cows stomach?,"['6', '4', '5', '3']",1
How many prime numbers are smaller than 23?,"['8', '0', '11', '12']",0
What is the word for fear of horses?,"['Equinophobia', 'Ereuthrophobia', 'Eremophobia', 'Epistemophobia']",0
What condition is characterized by fear of men?,"['Hominophobia', 'Hormephobia', 'Homichlophobia', 'Hodophobia']",0
What is the color of the Dont Walk pedestrian crossing signal in Canada and the United States?,"['Puce', 'Coral red', 'Scarlet', 'Portland Orange']",3
This is the reason why Maori women tattoo their faces.,"['To conceal age wrinkles', 'To prevent the access of sunlight to their faces', 'To be more attractive to men', 'To indicate their social status']",0
"The sweet potato is commonly mistaken for this other plant, although the two are not related.","['Carrot', 'Turnip', 'Yam', 'Potato']",2
"In the 14th Century, Moscow replaced this city as the cultural center of Russia.","['Kiev', 'Leningrad', 'Riga', 'St. Petersburg']",0
"In the United States Navy, what is the next rank above Ensign?","['2nd Lieutenant', 'Chief Petty Officer', 'Lieutenant (junior grade)', 'Captain']",2
The Orange River is the longest river in which country?,"['Canada', 'Republic of South Africa', 'Chile', 'Australia']",1
What did Norman Breakey invent?,"['The electric alarm clock', 'The electric typewriter', 'The QWERTYU keyboard', 'The paint roller']",3
When something is especially cleaned one is said to have applied polish and ..........  to it.,"['Ajax', 'Spit', 'Elbow grease', 'Cleanser']",1
What is Cordillera Central?,"['City Center in Far East Asian countries', 'The central mountain range in several Spanish speaking countries', 'A special undercover police unit in Australia', 'The geographical center of any country or region']",1
Which is the only state whose legal system is not based upon English Common Law?,"['Hawaii', 'Alaska', 'Texas', 'Louisiana']",3
The outbreak of what deadly disease is often referred to as Black Death?,"['Tuberculosis', 'Plague', 'Malaria', 'Cholera']",1
"In Bram Stokers horror novel, vampires are the henchmen of this Count.","['Vlad', 'Dracula', 'Van Helsing', 'Frankenstein']",1
What is Americas first continuously-published newspaper?,"['Boston Globe', 'Boston Star', 'Boston Herald', 'Boston News-Letter']",3
What singer and actress starred in the 1990 dramedy movie Mermaids?,"['Vanessa Williams', 'Cher', 'Madonna', 'Dolly Parton']",1
"According to Dr. Seuss, what goes with ham?","['Green eggs', 'Orange bacon', 'Pink Sausage', 'Blue Cheese']",0
In the sitcom Cheers what was the name of the restaurant that sat above the bar?,"['Melvins', 'Mickeys', 'Minnies', 'Melvilles']",3
He invented instant coffee in 1901.,"['Satori Koto', 'Karl von Nestle', 'Eduard Helfenmier', 'Levi Hutchins']",0
Who did Allie Hamilton meet while working as a nurse in the 2004 romance film The Notebook?,"['her old flame Noah Calhoun', 'her future fiance Lon Hammond', 'none of these', 'her future fiance and eventual husband Lon Hammond']",1
"What was the real name of renowned folk artist, Grandma Moses?","['Anna Louise Mason', 'Mary Elizabeth McCoy', 'Anna Mary Robertson', 'Carmen Vital']",2
This United States Navy aircraft was used widely during the Second World War.,"['B17 Flying Fortress', 'F-5 Tiger', 'P47 Thunderbolt', 'F4U Corsair']",3
"On TV, what was the name of Sergeant Prestons horse?","['Videl', 'Rex', 'Max', 'Hopper']",1
"In terms of A.U. (Astronomical Units), how far is the Sun from the Earth?","['.92', '93 million', '1', '93']",2
Who was the father of Jem and Scout in the novel To Kill a Mockingbird?,"['Harper Lee', 'Bob Jones', 'Boyd Smith', 'Atticus Finch']",3
On which continent is the geographic region of Central America located?,"['Central America', 'North America', 'South America', 'All of these']",1
Where was the worlds first modern electrically air-conditioned building located?,"['San Antonio, Texas', 'Rome, Italy', 'New York, New York', 'Barcelona, Spain']",0
What is the meaning of the term blood diamond?,"['Diamond used for financing wars', 'Red diamond', 'Stolen diamond', 'Diamond for which somebody has died']",0
"What was the original name of the melodramatic musical, West Side Story?","['War and Love', 'East Side Story', 'The Gangs of New York', 'Jets and Sharks']",1
"Which Major League Baseball pitcher was nicknamed, The Spaceman?","['Dennis Rodman', 'Bill Romanowski', 'Mark Fidrytch', 'Bill Lee']",3
This is the name of the elongated diamond cut with pointed ends.,"['Marquise', 'Heart Shaped', 'Oval', 'Princess']",0
What type of color is the color named thistle?,"['Green', 'Brown', 'Purple', 'Yellow']",2
The ending of what Steven Spielberg movie takes place at Devils Tower?,"['Close Encounters of the Third Kind', 'E.T: The Extra-Terrestrial', 'Raiders of the Lost Ark', 'Saving Private Ryan']",0
"Leo the Lion is the mascot of what Hollywood film studio, founded in 1924?","['MGM', 'Warner Bros.', 'Paramount Pictures', 'Dreamworks']",0
What artist wrote and performed the song Tears in Heaven?,"['Eric Clapton', 'Billie Holiday', 'Duke Ellington', 'Billy Joel']",0
Who is Hiroo Onoda?,"['The last Japanese casualty from World War II', 'The founder of Mazda', 'This is the real name of Tojo.', 'The Japanese fisherman who first sees Godzilla in the movie of the same name']",0
"Ireland, New Zealand and Japan are three countries with very high consumption of this drink.","['Brandy', 'Coffee', 'Coca-cola', 'Tea']",3
Where does WALL-E find the plant in the self-titled movie?,"['In a refrigerator', 'In a trash can', 'In a storm shelter', 'In a greenhouse']",0
The flag of which of the countries listed below is not red and white?,"['Poland', 'Jamaica', 'Turkey', 'Japan']",1
"Measured from base to peak, what is the worlds highest mountain?","['Chimborazo', 'Mauna Kea', 'K2', 'Mt. Everest']",1
What is the name of Hermones cat in the Harry Potter series?,"['Kittywizardodopolis', 'Dumbledore', 'Crookshanks', 'Squeaks']",2
"Who is Shreks sidekick in the films Shrek, Shrek 2, and Shrek the Third?","['Puss in Boots', 'The Frog King', 'Fairy Godmother', 'Donkey']",3
Who was drafted by the Houston Rockets in the first overall selection of the 1984 NBA draft?,"['Michael Jordan', 'Hakeem Olajuwon', 'John Stockton', 'Charles Barkley']",1
What was Shakespeares last play?,"['A Lovers Complaint', 'Romeo and Juliet', 'The Winters Tale', 'The Tempest']",3
What was the last state to put photos on drivers licenses?,"['New Jersey', 'Hawaii', 'Alaska', 'New York']",3
"In the US, a record can be certified diamond, if it sells this number of copies.","['50 million', '10 million', '5 million', '20 million']",1
Who was the British Prime Minister on February 14th 1940?,"['Chamberlain', 'Callaghan', 'Churchill', 'Canning']",0
Which was the second motion picture  to win the Oscar for Best Movie?,"['The Broadway Melody', 'Wings', 'All Quiet on the Western Front', 'Cimarron']",0
This President was accused of fathering a child in a cloak room of the White House.,"['Harding', 'Grant', 'Jefferson', 'Van Buren']",0
In what year did Nicolas Cugnot invent the first successful steam-powered road vehicle?,"['1842', '1645', '1769', '1816']",2
"Tom Cruise had a lead role in all, but one of these movies.  Which one?","['Rain Man', 'The Firm', 'Magnolia', 'Endless Love']",3
Which state was the first to ratify the Constitution of the United States in 1787?,"['Massachusetts', 'Rhode Island', 'Delaware', 'Pennsylvania']",2
What was the original name of the British rock band Sweet before they adopted their final name?,"['Sugar and Spice', 'The Sweetshop', 'Candy', 'The Sugarcane']",1
Which distinction does Annie Moore hold?,"['She was the first American woman to win a Nobel Prize.', 'She was the first immigrant  to the USA to pass through Ellis Island.', 'She was the first American woman to be a dentist.', 'She was the first American woman to graduate from college.']",1
A very common greeting in India is namaste or namaskar. What does it mean?,"['I bow  to you.', 'I pray your family is complete.', 'May you be blessed.', 'How are  you?']",0
Which US President invented the baseball seventh inning stretch?,"['Hoover', 'Taft', 'Wilson', 'Harding']",1
"The number one girls name of 2006, Emily, means what?","['Princess', 'Flower', 'Wealthy', 'Industrious']",3
He was the luckless lawyer for Cosmo Kramer in Seinfeld.,"['Jimmy Lee Cofield', 'Joey Chadwick', 'Jackie Chiles', 'Johnny Childress']",2
A person who is excessively afraid of getting married suffers from what phobia?,"['Wedophobia', 'Entomophobia', 'Acrophobia', 'Gamophobia']",3
What does quinunc mean?,"['A necessary thing', 'A five-cornered star', 'A prime example', 'A busybody']",3
"This Greek word, used in Homers works, means virtue or being the best you can be.","['Terre firma', 'Cantus firmus', 'Hamartia', 'Arete']",3
"In 2007, where was a new record for the biggest country flag set?","['North Korea', 'Venezuela', 'Mexico', 'Israel']",3
Which U.S. President settled the North Western border dispute with Canada and England?,"['Hayes', 'Polk', 'Mckinley', 'Pierce']",1
"This American car make was founded in 1911, and was purchased by General Motors in 1917.","['Hummer', 'Ford', 'Chevrolet', 'Cadillac']",2
What is the largest country by area in Africa?,"['Sudan', 'South Africa', 'Algeria', 'Egypt']",0
What do historians call the period of 1730-1759 in American history?,"['The Primitive Era', 'The Puritan Era', 'The Great Awakening', 'The Era of Good Feelings']",2
What day marks the start of Easter fasting in Eastern Christianity?,"['Clean Monday', 'Good Friday', 'Palm Sunday', 'Lazarus Saturday']",0
What actor depicted King Xerxes in the 2007 American action movie 300?,"['Rodrigo Santoro', 'Dominic West', 'Gerard Butler', 'David Wenham']",0
"This law says that if things can go wrong, they jolly well will!","['Paddys Law', 'O Tooles Law', 'O Learys Law', 'Murphys Law']",3
Name the actor who starred in the 2007 drama movie There Will Be Blood.,"['Kevin Spacey', 'Sean Penn', 'Keanu Reeves', 'Daniel Day-Lewis']",3
There is no country in the world whose name begins with this letter of the alphabet.,"['O', 'Q', 'Y', 'X']",3
"Which word was coined by philosopher and theologian, William Whewell in 1833?","['holography', 'magenta', 'scientist', 'trastevere']",2
Who is widely regarded as the father of British Secret Service?,"['Sir Richard Burton', 'Christopher Marlowe', 'Daniel Defoe', 'Edward Ames, Duke of Harrington']",2
"According to the August 2008 issue of Travel  Leisure, what is the scariest road in the world?","['Karakoram Hwy., Pakistan to China', 'Guoliang Tunnel Road, China', 'N. Yungas Road, Bolivia', 'Halsena Hwy., Luzon, Philippines']",2
"What did electrical engineering professor, Dr. Brent Townshend, invent in 1996?","['The 56K modem', 'Potato Chips', 'Bookshelf speakers', 'The remote control locator']",0
Where did the Black Plague  originate?,"['Turkey', 'Italy', 'Russia', 'India']",3
"In computer jargon, what is FTP?","['a programming language', 'a popular Internet service provider', 'a way to transfer files', 'a type of e-mail']",2
Fashion house Hermes named their famous Birkin bag after Jane Birkin. Who is she?,"['an English actress and singer', 'a French painter and sculptor', 'an Italian model', 'an American tennis player']",0
Who was Aristotles teacher?,"['Plato', 'Ptolemy', 'Socrates', 'Alexander']",0
What is Belle Fourche?,"['The  geographic center of the United States.', 'A new dessert created on TV, which contains three types of chocolate, strawberries, and  cranberry marmalade.', 'The resort voted Number One Vacation Destination  by Forbes Magazine', 'A very upscale suburb of Paris in which the average house goes for 3,450,000 Euros']",0
Who was baseball announcer Joe Garagiolas best friend in childhood ?,"['Stan Musial', 'Yogi Berra', 'Red Barber', 'Chris Schenkel']",1
Who is considered the first American to be killed in the Cold War?,"['Alan Funt', 'Allen Dulles', 'William Donovan', 'John Birch']",3
What word means fear of newness or novelty?,"['Cainophobia', 'Carcinophobia', 'Caligynephobia', 'Cancerophobia']",0
Which video game console is credited with popularizing the use of game cartridges in 1977?,"['ColecoVision', 'Atari 2600', 'NES/Famicom', 'Sega Master System']",1
