question,choices,answer
This mathematician was the first to develop an algebraic method of solving any cubic equation.,"['Nicolai Fontana Tartaglia', 'Evariste Galois', 'Girolamo Cardano', 'Carl Friedrich Gauss']",0
What system of the human body provides a site for blood cell formation?,"['Cardiovascular', 'Skeletal', 'Integumentary', 'Endocrine']",1
Going in a circle counter-clockwise is called left-handed. Why ?,"['It is the way that hurricane winds blow', 'Newton called it that way so we follow his way', 'It is arbitrary', 'If you turn counter-clockwise your left hand is nearer the center']",3
"If you needed a good source of iron, this food would be the best.","['Peas', 'Broccoli', 'Salt', 'Liver']",3
How long does it take Neptune to orbit the Sun once?,"['211 years', '165 years', '89 years', '128 years']",1
What is the known top speed that a snow avalanche can reach?,"['85 mph (135 km/h)', '45 mph (72 km/h)', '30 mph (48 km/h)', '60 mph (95 km/h)']",3
What is the chemical symbol for Boron?,"['B', 'Bn', 'Br', 'Bo']",0
What type of structure do tulips grow out from?,"['Rhizome', 'Root', 'Bulb', 'Tuber']",2
What food is a rich source of vitamin B6?,"['All of these', 'Meat', 'Vegetables', 'Nuts']",0
"Which part of the body is decomposed last, but before the bones?","['Cartilages', 'Hair', 'Nails', 'Gall Bladder']",1
Listening to what type of music is recommended for people who suffer from mood disorders?,"['Loud music', 'Soft music', 'Jazz', 'Rock and roll']",1
The side of the Moon that we see is this.,"['Different every night', 'Different every two weeks', 'Different every month', 'The same every night']",3
What term refers to wasting away or degeneration of a muscle?,"['Dystrophy', 'Trophy', 'Atrophy', 'Hypertrophy']",2
During World War I approximately how many soldiers died as a result of avalanches?,"['25,000', '60,000', '10,000', '40,000']",1
What are common side effects of pregnancy?,"['Stretch marks', 'Morning Sickness', 'All of the these', 'Weight gain']",2
How are CDs and DVDs read?,"['Sensor', 'Laser', 'Beam of Nuclear Radiation', 'Magnetically']",1
Which is the wrong statement about the features of Plutos orbit?,"['In the long term, it is chaotic.', 'At certain moments in time, it crosses Neptunes orbit.', 'It is inclined compared to the plane of other planets orbits.', 'It is elliptical.']",1
Which word means the study of drug action?,"['enology', 'pharmacology', 'chirology', 'physiognosy']",1
"A chalazion, also known as a Meibomian gland lipogranuloma, refers to which of these?","['A fungal rash', 'A recurring headache', 'A cyst on the eyelid', 'A sore throat']",2
What time of the day do tornadoes most often strike?,"['12 a.m. - 1 p.m.', '10 p.m. - 3 a.m.', '2 a.m. - 12 p.m', '3 p.m. - 9p.m.']",3
"On January 31, 2008, China announced that it will recycle these to resurface roads.","['Robbie Williams Cds', 'Old  cars', 'Coal', 'Old  tires']",0
"IRC lets people all over the world chat in virtual rooms, called channels.","['Internet Rough Chat', 'Internet Reality Chat', 'Internet Real Chat', 'Internet Relay Chat']",3
What is the basic chemical compound that natural pearls consist of?,"['Aluminum carbonate', 'Sodium sulphate', 'Calcium fluoride', 'Calcium carbonate']",3
Which planet was named after the Roman god of war?,"['Uranus', 'Mercury', 'Mars', 'Saturn']",2
Virus fossils from several thousand years ago show what about the origin of viruses?,"['None of these', 'They were once small cells that lived parasitically on bigger ones.', 'They appeared and evolved simultaneously with life on Earth.', 'They evolved from bits of DNA that escaped from cells of organisms.']",0
What does the  word geometry mean?,"['width and length', 'earth measure', 'shapes and sizes', 'size and measurement']",1
What is the common shape of large single-vortex tornadoes?,"['Funnel tornadoes', 'Stovepipe tornadoes', 'Rope tornadoes', 'Wedge tornadoes']",3
How long does it take the Sun to rotate once upon its axis?,"['About 24 to 28 days', 'The Sun does not rotate at all', 'About 24 to 30 hours', 'About once a year']",0
It has been proved that drinking only bottled water can have this effect on your health.,"['Increase in body fat', 'Increase in weight', 'Increase in dental problems', 'Increase in heart disease']",2
What important mineral is sea lettuce especially rich in?,"['Iron', 'Magnesium', 'Copper', 'Potassium']",0
Which domain is used by European Union institutions?,"['.ue', '.ee', '.eu', '.ec']",2
"Announced in 2002, model 6370 was what manufacturers first CDMA2000 1X handset?","['Nokia', 'Siemens', 'Sony Ericsson', 'Motorola']",0
What word is commonly used to refer to the central area of the tornado?,"['All of these', 'Eye', 'Heart', 'Navel']",1
What star is closest to the sun?,"['Procima Beta', 'Proxima Centauri', 'Alpha Centauri', 'Proxima Alpha']",1
How long does it take Mars to complete one revolution around the sun?,"['225 days', '525 days', '456 days', '687 days']",3
What is the main function of the iris of the eye?,"['It protects the sclera from injuries.', 'It protects the lens from injuries.', 'It controls the amount of light that reaches the retina.', 'All of these']",2
What was the first person to fly a balloon that was filled with hydrogen gas?,"['Count Ferdinand Zeppelin', 'Francois F. DeRozier', 'Joseph Montgolier', 'Jacques A.C. Charles']",3
What is soap?,"['an acid with a sour taste', 'an acid with a bitter taste', 'a base with a sour taste', 'a base with a bitter taste']",3
What actress starred in the 1996 disaster movie Twister?,"['Meg Ryan', 'Helen Hunt', 'Jodie Foster', 'Michelle Pfeiffer']",1
Which natural disaster claimed the most lives during the second millennium?,"['earthquakes', 'influenza', 'tsunami', 'plague']",1
What is the symbol for Polonium?,"['Pl', 'Pn', 'P', 'Po']",3
What is unusual about Plutos three known moons compared to other moons in the Solar System?,"['They orbit Pluto at a very high speed.', 'They are asteroids from another solar system attracted by Pluto and captured by gravitational forces.', 'They are untypically close to Pluto.', 'Their orbits are unusually big and elliptical.']",2
It is the longest river in the world,"['Themes', 'The Amazon', 'The Nile', 'Danube']",2
This is the largest island on Earth and one third of it is a national park.,"['Greenland', 'Madagaskar', 'Australia', 'Alaska']",0
Antiseptic oils are used to treat these.,"['Poor circulation and listlessness', 'Heartburn and indigestion', 'Colds and congestion', 'Cuts and insect bites']",3
How oblate is Saturn?,"['.07', '.11', '.1', '.08']",2
Which planet of the Solar System has the most moons?,"['Mars', 'Saturn', 'Jupiter', 'Pluto']",2
Which great 20th century mathematician died because he refused to eat ?,"['Robert Schatten', 'Paul Erdos', 'Kurt Godel', 'Paul Wittenberg']",2
What marrow produces blood cells in the human body?,"['Blue marrow', 'Yellow marrow', 'Green marrow', 'Red marrow']",3
What animals does malacology study?,"['Jellyfish', 'Monotremes', 'Mollusks', 'Arthropods']",2
Light slows down in this object and causes it to look bent.,"['glass', 'lamp', 'water', 'gas']",2
"In taste science, what is the meaning of the term supertaster?","['A food with sharper taste than average', 'A person with sharper sense of taste than average', 'A person who tastes foods and beverages professionally', 'A supercomputer with sensors able to detect extremely tastes accurately']",1
Which company paid for the first TV ad?,"['Dawn (dishwashing detergent)', 'Bulova (watches)', 'Colgate (toothpaste)', 'Tide (laundry detergent)']",1
In about how many years does the planet Saturn finish one revolution around the Sun?,"['30 years', '29 years', '29 1/2 years', '28 1/2 years']",2
What does the suffix lith refer to (as in Neolithic Age)?,"['Stone', 'Iron', 'Copper', 'Early tools']",0
"Which is the first US national antismoking coalition, formed in 1964?","['Action on Smoking and Health', 'National Interagency Council on Smoking and Health', 'None of these', 'National Clearinghouse for Smoking and Health']",1
Grasslands cover this part of land on Earth.,"['1/2th', '1/17th', '1/10th', '1/5th']",3
"According to scientific classifications, to which kingdom do fungi belong?","['To both the animal and the plant kingdom', 'The animal kingdom', 'The plant kingdom', 'None of these']",3
In what year did Einstein pass away?,"['1960', '1955', '1954', '1956']",1
People use a kind of microbe to make this.,"['Mineral water', 'Bread', 'Orange juice', 'Plastics']",1
"The word adeno, deriving from Greek, refers to which to what body part?","['Flesh', 'Brain', 'Gland', 'Kidney']",2
"In 1905, this British scientist suggested the word genetics to describe the study of inheritance.","['Hennig Brand', 'Karl Pearson', 'William Bateson', 'Adam Sedgwick']",2
This disease had 7 pandemics and is still causing epidemics.,"['Plague', 'Cholera', 'Typhus', 'Influenza']",1
Which wall is used for computer protection in the Internet or other networks?,"['Firewall', 'Wooden wall', 'Brickwall', 'Protective wall']",0
"6 is a multiple of 2 and 3, 9 is a multiple of 3 only, 10 is a multiple of 5 and what other number?","['10', '2', '15', '5']",1
What is the symbol for Niobium?,"['Ni', 'N', 'Nb', 'No']",2
What do we call the square root of negative one?,"['log(x)', 'i', 'e', 'Pi']",1
A twin fetus which does not develop during pregnancy is called this.,"['Conjoined twin', 'Vanishing twin', 'Multiple twin', 'Fraternal twin']",1
What is the symbol for Neon?,"['No', 'Nn', 'Ne', 'N']",2
What is the chemical symbol for Lanthanum?,"['Ln', 'La', 'L', 'Lt']",1
The Earths atmosphere comprises of which two main elements?,"['Oxygen and Hydrogen', 'Hydrogen and Oxone', 'Oxygen and Nitrogen', 'Nitrogen and Hydrogen']",2
A compass cannot be used on the Moon.  What factor is responsible for this?,"['Lack of a magnetic field', 'Influence of Earths gravity', 'Asteroid impacts', 'Lack of gravity on the Moon']",0
This is a synonym for neutron star.,"['White  Dwarf', 'Black hole', 'Pulsar', 'Questars']",2
Use an IMAP server to get advanced mail features.  What does IMAP stand for?,"['Internet Message Access Protocol', 'Intelligent Message Account Process', 'Internet Massive Access Peak', 'Intelligent Messaging Account Protocol']",0
Who was the first physician to demonstrate that arteries carry blood throughout the body?,"['Galen', 'Valen', 'Valecious', 'Herodotus']",0
What are the two largest veins in the body?,"['Vena cavae', 'Pulmonary veins', 'Coronary veins', 'Atria']",0
The companies Intel and AMD are primarily known for their development and manufacturing of what?,"['Processors', 'Video Cards', 'Software', 'Ram']",0
What is the symbol for Boron?,"['Bo', 'Bn', 'Br', 'B']",3
What is the study of whales called?,"['cetology', 'mycology', 'dendrology', 'balinology']",0
What does IC stand for in a computer?,"['Integrated Circuit', 'Integrated Chip', 'InterChip', 'InterCircuit']",0
"Vitamin B12, which is related to hair growth and strength, can be obtained from which food?","['All of these', 'Diary products and egg yolks', 'Seafood', 'Meat']",0
"Which skeletal muscle extends the foot, and is used to stand on tiptoes?","['Gastrocnemius', 'Hamstrings', 'Soleus', 'Tibialis anterior']",0
"In Mannheim, Germany, people began recycling this.","['Coffee grinds to make jewelry', 'Old PCs to make radar equipment  for traffic control', 'Old swords and knives to make I-beams', 'Dead pets to make fertilizer']",3
How large can Jupiter appear in the Earths sky?,"['35 arcseconds', '50 arcseconds', '55 arcseconds', '40 arcseconds']",1
Which one of the following is indicative of Direct Disc Labeling capabilities?,"['LightScribe', 'SATA 3.0Gb/s', 'Sharpie enabled', 'DL DVD±RW/CD-RW']",0
Saltiness is a taste sensation produced most strongly by which of the following chemical compounds?,"['Cesium', 'Sodium chloride', 'Potassium chloride', 'Rubidium']",1
What does the  prefix milli mean?,"['1000', '1/100000', '1/1000', '1/100']",2
How many teeth does an average human have?,"['28', '29', '34', '32']",3
"If not controlled, diabetes causes all of the following EXCEPT this one.","['Blindness', 'Colon cancer', 'Heart attacks', 'Kidney failure']",1
"In medical terms, what is a CVA?","['An aneurysm', 'A type of accountant', 'A heart attack', 'A stroke']",3
What element was usually the subject of transformation in alchemy?,"['Copper', 'Lead', 'Lithium', 'Tin']",1
How long is a day on the planet Mars?,"['48 Earth hours', '26 Earth hours', '12.6 Earth hours', '24.6 Earth hours']",3
Uranus was renamed Urectum in what animated TV Series?,"['Futurama', 'The Simpsons', 'The Family Guy', 'American Dad']",0
What was the occupation of TV personality Harry Volkman?,"['TV weatherman', 'TV variety show host', 'TV news caster', 'TV game show host']",0
What is the condition of having a unibrow called?,"['Monobrowphism', 'Uniphys', 'All of these', 'Synophrys']",3
A regular fair  pair of  dice is rolled. What is the probability that the role  will be a 7?,"['7 in 6', '1 in 6', '6 in 7', '7 in 36']",1
"This medical term refers to a condition, characterized by enlargement of the thyroid gland.","['Goiter', 'Sore throat', 'Mumps', 'Boils']",0
Which planet has been described as a sister planet to Earth?,"['Mercury', 'Saturn', 'Venus', 'Mars']",2
How many genes does the human DNA contain?,"['About 200 000', 'About 80 000', 'About 8 000', 'About 20 000']",1
How many calories (kcal) is equivalent to one pound?,"['1000', '2500', '2000', '3500']",3
The name of which Native American group is also a name of an open source organization?,"['Iroquois', 'Navajo', 'Cherokees', 'Apache']",3
What does the scientific term virga mean?,"['The effect on Mars that makes it appear as if water was on Mars', 'Rain that never hits Earth', 'The salt that remains after sea water has been desalinated', 'Water that has undergone desalination']",1
In which ody part of the human body can the Darwins tubercle be found in some individuals?,"['Ear', 'Tongue', 'Nose', 'Eyelid']",0
What is the national flower of Wales?,"['Daisy', 'Daffodil', 'Rose', 'Posy']",1
"Which two planets of the Solar System, characterized by a low magnetic field, have no moons at all?","['Mercury and Mars', 'Mercury and Venus', 'Venus and Jupiter', 'Venus and Mars']",1
What is the speed of light in vacuum?,"['500 000 km/s', '300 000 km/s', '200 000 km/s', '400 000 km/s']",1
The lack of this vitamin may cause seborrhea and dry skin.,"['Vitamin B6', 'Vitamin J', 'Vitamin D', 'Vitamin F']",0
There is proof that microbes existed on this planet.,"['Pluto', 'Mars', 'The Sun', 'Neptune']",1
What astronomer was the first to see canali on the surface of Mars?,"['Sir Isaac Newton', 'Giovanni Shiaparelli', 'Galileo', 'Percival Lowell']",1
"If compared to a camera, what part of the human eye is its aperture?","['Iris', 'Pupil', 'The cones', 'Optic nerve']",1
What happens to an indicator when touched by an acid or a base?,"['it vibrates', 'it dissolves', 'the color changes', 'it corrodes']",2
What period marks the beginning of extensive land colonization by plants?,"['Cretaceous', 'Devonian', 'Cambrian', 'Permian']",1
Who was the teacher of Plato?,"['Thales', 'Socrates', 'Aristotle', 'Archimedes']",1
What is the most common reason for water waste?,"['Washing Machines', 'Showers', 'Dish Washers', 'Brushing your teeth']",1
What is the symbol for Copper?,"['Cp', 'Cu', 'Co', 'C']",1
How is the discipline of biology dedicated to the study of fungi called?,"['Fungitics', 'Myology', 'Mycology', 'Fungology']",2
GPRS is a new service designed for digital cellular networks.,"['General Packet Radio System', 'General Pocket Radio System', 'Global Packet Radio Service', 'General Packet Radio Service']",3
What was the name of the command module of Apollo 11?,"['Columbia', 'Eagle', 'Georgia', 'Thunder']",0
What is the lightest element that is a metal?,"['Titanium', 'Lithium', 'Cobalt', 'Boron']",1
What food results in negative calories when eaten?,"['Carrots', 'Celery', 'All of these', 'Radishes']",2
